track_id,duration,tempo,loudness,key,mode,time_signature,danceability,energy,key_confidence,mode_confidence,time_signature_confidence,end_of_fade_in,start_of_fade_out,song_hotttnesss,artist_hotttnesss,artist_familiarity,year
TRBIACJ128F93087A9,159.16363,84.907,-11.261,0,1,4,0.0,0.0,0.598,0.302,0.562,0.38,154.68,0.0,0.3645865754085436,0.594464632807191,
TRBIACM128F930021A,264.69832,83.897,-16.326,1,1,3,0.0,0.0,0.743,0.791,0.317,0.0,256.255,0.0,0.41643518358517334,0.24113375341058682,
TRBIAGO128F42640FB,339.51302,93.162,-6.295,2,1,1,0.0,0.0,0.415,0.37,0.265,0.282,332.748,,0.19553182837458385,0.31986832417895167,
TRBIAHA128F42A4C9B,251.50649,127.369,-10.347,9,0,4,0.0,0.0,0.007,0.243,0.0,0.223,240.605,0.8736187597898523,0.41551708285972627,0.6849948965806557,1983
TRBIAKX128EF35D3BA,191.92118,120.986,-9.988,1,0,4,0.0,0.0,0.356,0.429,1.0,0.537,189.591,,0.3588450251644818,0.566157341575077,
TRBIANJ128F423A53A,218.122,84.978,-6.47,2,1,3,0.0,0.0,0.553,0.742,0.67,0.235,207.755,0.0,0.441537878476653,0.6740231561759062,
TRBIANT128F425C487,358.60853,133.058,-6.663,7,1,4,0.0,0.0,0.698,0.615,0.645,2.264,342.552,0.0,0.44925387694771113,0.6174214066397045,
TRBIAQT128F426B9E0,219.71546,126.941,-4.767,8,0,4,0.0,0.0,0.807,0.641,0.789,0.0,209.763,,0.26265589071398826,0.26821000464815703,
TRBIAVI128F424A89C,228.15302,130.923,-5.705,9,1,4,0.0,0.0,0.015,0.158,0.0,0.328,221.24,0.26586104921065007,0.3477495590121899,0.510098894399033,
TRBIAVP12903CEDA19,258.7424,75.064,-7.355,7,1,3,0.0,0.0,0.735,0.632,0.741,0.136,249.481,0.8063998668501149,0.5110543538982074,0.6759195565215971,2010
TRBIAVU128EF3493BA,238.21016,122.166,-9.02,11,1,4,0.0,0.0,0.046,0.407,0.738,0.067,233.935,0.5807042926330412,0.4610230157261765,0.6042587284435574,2002
TRBIBAQ128F93279F5,211.1473,194.283,-8.958,0,1,7,0.0,0.0,0.614,0.634,0.47,0.194,204.487,0.5525476944351284,0.48210001892032256,0.6968168917909224,1979
TRBIBFY128F932C0E3,214.46485,167.941,-5.609,0,0,4,0.0,0.0,0.723,0.507,0.595,0.101,199.605,,0.30878765630404553,0.6163129906621232,
TRBIBGN128F42ADC66,209.34485,122.488,-4.507,2,1,3,0.0,0.0,0.205,0.394,1.0,0.299,206.176,,0.5423950934997648,0.7640033685495728,2004
