track_id,title,artist,year
TRBIACJ128F93087A9,I Got My Discharge Papers,Big Joe Turner,
TRBIACM128F930021A,The Bells Of Rhymney,Roger McGuinn,
TRBIAGO128F42640FB,Hootchie Cootchie Man,Rocky Hill,
TRBIAHA128F42A4C9B,This Is Not A Love Song,Public Image Ltd,
TRBIAKX128EF35D3BA,Mind On,Ashes to Ashes,
TRBIANJ128F423A53A,You are the summer,Gloria,
TRBIANT128F425C487,Je Marche Seul (Version Longue),Jean-Jacques Goldman,
TRBIAQT128F426B9E0,De Tha Kano Piso,Konstantinos Galanos,
TRBIAVI128F424A89C,Pack Your Bags (Remix by Ralphi Rosario),Leana,
TRBIAVP12903CEDA19,I Know A Place,Joe Bonamassa,
TRBIAVU128EF3493BA,The Letter That Johnny Walker Read,Asleep At The Wheel,
TRBIBAQ128F93279F5,Crazy Circles,Bad Company,
TRBIBFY128F932C0E3,Fica ma mi,Nichols,
TRBIBGN128F42ADC66,The Meantime,Phantom Planet,
TRBIBKA128F42947BF,Die Meisten,Samy Deluxe,
TRBIBKU128F422A0E3,No Coward Soldier,The Jackson Southernaires,
TRBIBLJ12903CCF436,Papa Don't Preach,Madonna,
TRBIBLK128F4264240,Thats life,Sane Band,
TRBIBOJ128F14618D4,Hard Hitters,Dilated Peoples Featuring Black Thought,
TRBIBSK128F92E5624,Saca La Botella,Sonora Santanera,
TRBIBSN128F92FBA64,Akhan Nay Sharab,Pardesi,
TRBIBSS128F14A205E,Two Elegiac Melodies Op. 34: 2. The Last Spring,Sir Neville Marriner,
TRBIBTE128E078E882,Start!,The Jam,
TRBIBTU128F92FDC9D,Fortress,Tim Exile,
TRBIBVM128F4262E9D,Are You Happy (Album Version),Drop Dead_ Gorgeous,
TRBICCR128F9352E4F,The Little Stack Of Barley / Cronin's Hornpipe,Séamus Ennis,
TRBICDG12903CBBAC6,Gutes Mädchen,Hassan Annouri,
TRBICEA128F93668AA,Spend the Night featuring Rock Money and Paul Law,Tech N9ne,
TRBICFZ128F429F9E1,Maybe You'll Love Me Too,Jazz Gillum,
TRBICGT128E0792473,Patience,Guns N' Roses,
TRBICHF128F92E42FA,Violet Heart Box,Willie Isz,
TRBICJM128F1490DE4,The World Is Waiting For The Sunrise,Bob Crosby,
TRBICPL128F9303BB0,In Your Dreams,Justo Almario,
TRBICQR128F9322603,Let it go Interlude,PMD,
TRBICRP128F42882BB,Follow The Light,Dungeon Family,
TRBICVB128F9326B65,Night Falls (The Weight Of It),Strata,
TRBICWB12903C9D763,Cocoricó (Abertura),Hélio Ziskind,
TRBICWI128F4234787,It Hurts Me Too,Jeremy Spencer,
TRBICXY128F428A9C8,I Woke Up One Morning And I Could Hardly See,Sonny Terry / Brownie McGhee,
TRBIDFH128F1464397,Rhapsody In Blue (2003 Digital Remaster),Semprini,
TRBIDGE128F9333791,Lucindy,Curt Bois,
TRBIDKS128F92CA8AD,Mort,Monique Morelli,
TRBIDPO128F423508A,Sebastian,Daylight Torn,
TRBIDRG128F92FC6E5,Gabriel's Oboe (La Mision),Carlos Nuñez,
TRBIDUD128F92FA11C,My Little Blue One,Cowboy Mouth,
TRBIDUK128F42806A4,No Matter How She Done It,Tampa Red,
TRBIDWY128F92E7BD9,Vulture 4,DJ Slugo,
TRBIDYF128F42680C4,The Star-Spangled Banner (1998 Digital Remaster),Felix Slatkin/Concert Arts Symphonic Band,
TRBIECT128F933810B,Come On Home,Michael English,
TRBIEGC128F93317E6,Alone Together (Live Acoustic),John Wesley,
TRBIEHQ12903CB66CE,Brasil pandeiro,Mart'nália,
TRBIEIZ128F148D778,Diamonds From Sierra Leone,Kanye West,
TRBIEJU12903CE6489,On The Edge Of Forever,Mannheim Steamroller,
TRBIELT128F93381E6,Rapaz De Bem,Sivuca,
